consumer_from_newest    | Received: {'current_time': '2024-09-26 14:41:48'}
consumer_batch_message  | Received: {'current_time': '2024-09-26 14:41:39'}
consumer_batch_message  | Received: {'current_time': '2024-09-26 14:41:40'}
consumer_batch_message  | Received: {'current_time': '2024-09-26 14:41:41'}
consumer_batch_message  | Received: {'current_time': '2024-09-26 14:41:42'}
consumer_batch_message  | Received: {'current_time': '2024-09-26 14:41:43'}
consumer_batch_message  | Received: {'current_time': '2024-09-26 14:41:44'}
consumer_batch_message  | Received: {'current_time': '2024-09-26 14:41:45'}
consumer_batch_message  | Received: {'current_time': '2024-09-26 14:41:46'}
consumer_batch_message  | Received: {'current_time': '2024-09-26 14:41:47'}
consumer_batch_message  | Received: {'current_time': '2024-09-26 14:41:48'}
kafka-producer          | Sent: {'current_time': '2024-09-26 14:41:49'}
consumer_from_newest    | Received: {'current_time': '2024-09-26 14:41:49'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:49'}
kafka-producer          | Sent: {'current_time': '2024-09-26 14:41:50'}
consumer_from_newest    | Received: {'current_time': '2024-09-26 14:41:50'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:50'}
kafka-producer          | Sent: {'current_time': '2024-09-26 14:41:51'}
consumer_from_newest    | Received: {'current_time': '2024-09-26 14:41:51'}
